;Date,Open,High,Low,Close,Adj Close,Volume
224;2020-11-24,25.639999,26.670000,25.639999,26.219999,25.366278,153293500
225;2020-11-25,26.200001,26.500000,25.670000,26.250000,25.395302,73971200
226;2020-11-26,25.940001,25.950001,25.559999,25.820000,24.979301,41935900
227;2020-11-27,25.920000,26.059999,25.450001,25.500000,24.669722,49863500
228;2020-11-30,25.260000,25.879999,24.840000,24.900000,24.089258,90207700
229;2020-12-01,25.400000,25.770000,25.290001,25.600000,24.766466,58866000
230;2020-12-02,25.600000,26.500000,25.330000,25.910000,25.066372,88093300
231;2020-12-03,26.150000,26.889999,26.049999,26.639999,25.772602,62424500
232;2020-12-04,27.190001,27.570000,27.059999,27.530001,26.633625,61652400
233;2020-12-07,27.270000,27.790001,26.670000,27.000000,26.120882,72664200
234;2020-12-08,26.809999,27.139999,26.459999,26.660000,25.791952,46276700
235;2020-12-09,26.629999,26.969999,26.400000,26.940001,26.062836,52448300
236;2020-12-10,27.190001,28.200001,27.129999,27.820000,26.914183,97537100
237;2020-12-11,27.490000,27.840000,27.280001,27.570000,26.672323,48334300
238;2020-12-14,28.030001,28.270000,27.620001,27.620001,26.720695,53159500
239;2020-12-15,27.620001,27.990000,27.620001,27.850000,26.943207,47208200
240;2020-12-16,27.850000,28.240000,27.469999,28.190001,27.272137,59399200
241;2020-12-17,28.299999,28.389999,28.070000,28.240000,27.320507,39297700
242;2020-12-18,28.100000,28.320000,28.020000,28.100000,27.185066,44707900
243;2020-12-21,27.190001,27.490000,26.520000,27.020000,26.140230,99988800
244;2020-12-22,27.200001,27.469999,27.049999,27.280001,26.391766,46513200
245;2020-12-23,27.430000,28.250000,27.350000,27.950001,27.039951,49038900
246;2020-12-28,28.360001,28.520000,28.180000,28.180000,27.262461,36313300
247;2020-12-29,28.379999,28.430000,27.990000,28.270000,27.349531,29891100
248;2020-12-30,28.350000,28.490000,28.200001,28.340000,27.417252,36968200
